,단지명,전용면적(㎡),계약년월,거래금액(만원),층,건축년도,도로명
1034,SKVIEW2단지,84.68,202002,        17400,11,2007,중앙로 176
1035,SKVIEW2단지,84.68,202002,        17800,9,2007,중앙로 176
1109,SKVIEW2단지,84.68,202102,        19700,9,2007,중앙로 176
227,SK비전,84.917,202002,        20000,2,2003,평택5로 57
228,SK비전,84.917,202002,        19800,4,2003,평택5로 57
166,SK비전,84.917,202102,        22800,5,2003,평택5로 57
167,SK비전,84.917,202102,        22900,4,2003,평택5로 57
168,SK비전,84.917,202102,        23000,6,2003,평택5로 57
1036,SK합정,59.965,202002,        16300,9,2003,참이슬길 5
1037,SK합정,59.965,202002,        17000,9,2003,참이슬길 5
1038,SK합정,59.965,202002,        15500,3,2003,참이슬길 5
1039,SK합정,59.965,202002,        13500,1,2003,참이슬길 5
1040,SK합정,59.965,202002,        15500,8,2003,참이슬길 5
1041,SK합정,59.965,202002,        16000,10,2003,참이슬길 5
1110,SK합정,59.965,202102,        14300,1,2003,참이슬길 5
1111,SK합정,59.965,202102,        16150,3,2003,참이슬길 5
1112,SK합정,59.965,202102,        16100,3,2003,참이슬길 5
1113,SK합정,59.965,202102,        14000,1,2003,참이슬길 5
1114,SK합정,59.965,202102,        16600,4,2003,참이슬길 5
1115,SK합정,59.965,202102,        17000,9,2003,참이슬길 5
1116,SK합정,59.965,202103,        16000,8,2003,참이슬길 5
1022,SR친오애,78.9582,202002,        15000,15,2004,서동대로 784
1023,SR친오애,78.9582,202002,        11000,2,2004,서동대로 784
1024,SR친오애,55.2406,202002,        10800,3,2004,서동대로 784
1025,SR친오애,78.9582,202002,        12500,4,2004,서동대로 784
1026,SR친오애,55.2406,202002,        11300,12,2004,서동대로 784
1101,SR친오애,78.9582,202102,        12700,13,2004,서동대로 784
1102,SR친오애,55.2406,202102,         9300,4,2004,서동대로 784
1103,SR친오애,78.9582,202102,        11000,4,2004,서동대로 784
905,TheSKY(더스카이송탄),39.93,202002,        20000,10,2019,지산로12번길 43
86,TheSharp지제역센트럴파크1BL,74.9929,202102,        58000,8,2020,지제동삭1로 163
87,TheSharp지제역센트럴파크1BL,59.6236,202102,        39700,7,2020,지제동삭1로 163
88,TheSharp지제역센트럴파크1BL,59.6236,202102,        45000,3,2020,지제동삭1로 163
89,TheSharp지제역센트럴파크1BL,59.7656,202102,        46000,13,2020,지제동삭1로 163
90,TheSharp지제역센트럴파크1BL,74.9929,202102,        60000,25,2020,지제동삭1로 163
91,TheSharp지제역센트럴파크1BL,74.9929,202102,        58000,23,2020,지제동삭1로 163
92,TheSharp지제역센트럴파크1BL,74.9929,202103,        56000,20,2020,지제동삭1로 163
93,TheSharp지제역센트럴파크2BL,74.9744,202102,        56000,23,2020,지제동삭2로 177
94,TheSharp지제역센트럴파크2BL,59.7656,202102,        48000,9,2020,지제동삭2로 177
95,TheSharp지제역센트럴파크2BL,74.9929,202102,        57000,21,2020,지제동삭2로 177
96,TheSharp지제역센트럴파크2BL,59.7656,202102,        45000,11,2020,지제동삭2로 177
517,e편한세상평택,84.5812,202002,        26900,13,2015,현촌1로 7
518,e편한세상평택,84.5812,202002,        28300,16,2015,현촌1로 7
519,e편한세상평택,84.8456,202002,        27000,23,2015,현촌1로 7
520,e편한세상평택,59.9346,202002,        22000,11,2015,현촌1로 7
521,e편한세상평택,72.6586,202002,        26200,19,2015,현촌1로 7
522,e편한세상평택,84.9849,202002,        28000,23,2015,현촌1로 7
569,e편한세상평택,84.8456,202102,        37500,11,2015,현촌1로 7
570,e편한세상평택,59.9346,202102,        24700,14,2015,현촌1로 7
571,e편한세상평택,72.6586,202102,        32000,9,2015,현촌1로 7
