iter	RMSE
0	3.25530115
1	3.17447141
2	3.104358161
3	3.028603775
4	2.960287918
5	2.892881828
6	2.824719644
7	2.763968062
8	2.70126279
9	2.645131401
10	2.589640474
11	2.535304277
12	2.48233013
13	2.436328709
14	2.386027471
15	2.34732138
16	2.305369889
17	2.266238101
18	2.224634974
19	2.186662725
20	2.151813296
21	2.122988861
22	2.086598711
23	2.054622012
24	2.024175527
25	1.995633406
26	1.96835115
27	1.941459606
28	1.914951363
29	1.891271349
30	1.869746734
31	1.848533076
32	1.826899706
33	1.805742087
34	1.787756759
35	1.76799865
36	1.750500887
37	1.733183774
38	1.715601669
39	1.698671987
40	1.684878646
41	1.669795629
42	1.657131612
43	1.643001671
44	1.629842823
45	1.617436436
46	1.604931935
47	1.594174275
48	1.584590483
49	1.573517383
50	1.560584701
51	1.551010393
52	1.540475926
53	1.53185831
54	1.523059368
55	1.51387415
56	1.506518847
57	1.498722377
58	1.491235065
59	1.484184428
60	1.47560121
61	1.469636579
62	1.461792354
63	1.452904429
64	1.44632141
65	1.440059737
66	1.434915447
67	1.429350823
68	1.423904344
69	1.417994773
70	1.412579819
71	1.407217754
72	1.402270129
73	1.398374335
74	1.393011656
75	1.388015524
76	1.383733009
77	1.378269817
78	1.374299597
79	1.368607867
80	1.362463313
81	1.359721731
82	1.354984452
83	1.352000147
84	1.348590325
85	1.346036136
86	1.34247626
87	1.338666632
88	1.335105044
89	1.330460093
90	1.326528745
91	1.321296429
92	1.317669919
93	1.313750181
94	1.310823234
95	1.307642489
96	1.304945662
97	1.300755895
98	1.298048765
99	1.293456458
100	1.291424583
101	1.289862267
102	1.2861503
103	1.281709578
104	1.279894823
105	1.277511472
106	1.274576951
107	1.272152017
108	1.270489729
109	1.268160578
110	1.266351949
111	1.263643545
112	1.26101366
113	1.259566427
114	1.257768889
115	1.255363539
116	1.253398857
117	1.251912105
118	1.248664866
119	1.245828104
120	1.244053436
121	1.242781448
122	1.240312281
123	1.238796394
124	1.236033116
125	1.234843513
126	1.232809881
127	1.231565127
128	1.22973215
129	1.228085969
130	1.225491595
131	1.224463603
132	1.221743093
133	1.219527752
134	1.217987106
135	1.215166977
136	1.213040856
137	1.210614425
138	1.208608759
139	1.206646184
140	1.205371956
141	1.204243776
142	1.20225286
143	1.199612298
144	1.197421982
145	1.195637707
146	1.192720796
147	1.190346315
148	1.18843158
149	1.184900329
150	1.1830234
151	1.18173958
152	1.180222945
153	1.179399388
154	1.17776801
155	1.176998154
156	1.17456828
157	1.173750435
158	1.170925385
159	1.169611575
160	1.168697263
161	1.167179073
162	1.163680756
163	1.162219681
164	1.160810624
165	1.159192417
166	1.157874496
167	1.156345821
168	1.156026818
169	1.154949239
170	1.154426888
171	1.153243441
172	1.152184734
173	1.149426636
174	1.147978896
175	1.145580791
176	1.14395058
177	1.142009863
178	1.141285335
179	1.140062402
180	1.137040908
181	1.135234459
182	1.134568605
183	1.132357918
184	1.130709485
185	1.129795561
186	1.128151955
187	1.127661531
188	1.125551485
189	1.121007147
190	1.120245361
191	1.119948009
192	1.119207329
193	1.117712296
194	1.117388889
195	1.114725986
196	1.112904532
197	1.109961568
198	1.108839381
199	1.10753486
200	1.10431957
201	1.102650313
202	1.101190659
203	1.09815632
204	1.097970152
205	1.097674616
206	1.095953612
207	1.095217846
208	1.09484258
209	1.092585614
210	1.089556334
211	1.088332749
212	1.087093125
213	1.085736904
214	1.085260808
215	1.085119426
216	1.083855639
217	1.082760154
218	1.081913996
219	1.079394841
220	1.079131175
221	1.078608306
222	1.078365874
223	1.078215921
224	1.077195703
225	1.074367086
226	1.072600064
227	1.069841849
228	1.069321237
229	1.067028335
230	1.066082063
231	1.065535817
232	1.064373168
233	1.062275951
234	1.06005821
235	1.057821376
236	1.057036992
237	1.054952132
238	1.053735339
239	1.05296153
240	1.051282171
241	1.050906028
242	1.05073115
243	1.04798032
244	1.045478393
245	1.043496438
246	1.043276978
247	1.04097197
248	1.040323525
249	1.038827507
250	1.038638038
251	1.036560922
252	1.03634109
253	1.035222203
254	1.033068974
255	1.032465283
256	1.031203578
257	1.0293706
258	1.028158098
259	1.026732011
260	1.026154378
261	1.024831637
262	1.024216517
263	1.022580462
264	1.021381644
265	1.018655986
266	1.017252915
267	1.017147526
268	1.01448238
269	1.011529272
270	1.01051126
271	1.008254824
272	1.006405069
273	1.003754437
274	1.002231701
275	1.001030818
276	0.9998998009
277	0.9977135192
278	0.996877267
279	0.9964992137
280	0.9962970721
281	0.9944473566
282	0.9943411449
283	0.9935764303
284	0.9928231945
285	0.9904911216
286	0.9895141496
287	0.9879433173
288	0.9878724791
289	0.9874128473
290	0.9863877369
291	0.9861110012
292	0.9847569144
293	0.9845394207
294	0.9834843628
295	0.9830697031
296	0.9812440839
297	0.9811606281
298	0.9798745218
299	0.9780616509
300	0.9761674838
301	0.9734896601
302	0.970975579
303	0.9680855475
304	0.9664669047
305	0.9647275838
306	0.9636510653
307	0.961787139
308	0.9609135522
309	0.9583688611
310	0.956634112
311	0.9553909373
312	0.9538829737
313	0.9510887598
314	0.9510027051
315	0.9497285258
316	0.9469743409
317	0.9457982624
318	0.9431041667
319	0.9421477288
320	0.9401389253
321	0.9375928959
322	0.9365738991
323	0.9359272428
324	0.9352734747
325	0.933962482
326	0.9324891334
327	0.9302256311
328	0.9284469271
329	0.9271396236
330	0.9249289295
331	0.9243067067
332	0.9224221422
333	0.9222303607
334	0.9215412782
335	0.9211704846
336	0.920149517
337	0.9187193255
338	0.9156912139
339	0.9156152264
340	0.9142881701
341	0.9142303475
342	0.9132946243
343	0.9125949062
344	0.9125244253
345	0.9096533746
346	0.9086302116
347	0.9063168149
348	0.9053547385
349	0.9053056365
350	0.903927381
351	0.9013864496
352	0.9008567781
353	0.9007397631
354	0.9002523753
355	0.900023502
356	0.8980632754
357	0.8964714964
358	0.89517333
359	0.8929607806
360	0.892912498
361	0.8910135431
362	0.8898216872
363	0.887768809
364	0.8873509311
365	0.8869796367
366	0.8860331745
367	0.8839569841
368	0.8835908178
369	0.8818052916
370	0.8798300039
371	0.8797100275
372	0.8772744062
373	0.8758453399
374	0.8738638919
375	0.8716675475
376	0.8704207708
377	0.8683992276
378	0.8679942782
379	0.8673548744
380	0.8671203353
381	0.8643706259
382	0.8639147862
383	0.8626079927
384	0.8611720192
385	0.8608452409
386	0.8601843517
387	0.8599587187
388	0.8598961849
389	0.8598384306
390	0.8581046165
391	0.8572591576
392	0.8566317729
393	0.8545394483
394	0.8530174323
395	0.850173139
396	0.8501311916
397	0.8483182171
398	0.8468747476
399	0.8443296542
400	0.8427848045
401	0.8423963837
402	0.8412649645
403	0.8392414575
404	0.8370719482
405	0.8359281364
406	0.8349767105
407	0.834944404
408	0.8334222449
409	0.8330553079
410	0.83139543
411	0.8311271091
412	0.8303359371
413	0.8280324789
414	0.8267294017
415	0.8251252209
416	0.8236539985
417	0.8226347645
418	0.8225840749
419	0.8205617974
420	0.820493809
421	0.8189148889
422	0.8174374425
423	0.8154924341
424	0.8137591091
425	0.8129346883
426	0.8112926312
427	0.811248557
428	0.8111907142
429	0.8085387767
430	0.8071891892
431	0.8058587458
432	0.8042787605
433	0.8028936421
434	0.8016243775
435	0.8012829697
436	0.8003243612
437	0.8002770862
438	0.8002254605
439	0.7989726388
440	0.7977595939
441	0.7965204468
442	0.7956580088
443	0.7942413143
444	0.7941665759
445	0.7928581676
446	0.7927874111
447	0.7919272359
448	0.7897986238
449	0.7883213635
450	0.7877132644
451	0.7870805243
452	0.7859309631
453	0.784712533
454	0.7838469077
455	0.7825646088
