iter	Passed	Remaining
0	3	3154
1	5	2659
2	10	3446
3	12	3102
4	14	2943
5	20	3417
6	23	3318
7	24	3020
8	26	2928
9	28	2805
10	30	2746
11	32	2680
12	39	2981
13	42	3020
14	47	3150
15	53	3271
16	55	3209
17	64	3542
18	66	3455
19	70	3444
20	72	3384
21	77	3440
22	81	3453
23	83	3397
24	85	3328
25	87	3280
26	94	3411
27	96	3352
28	99	3328
29	101	3282
30	106	3333
31	109	3316
32	111	3271
33	113	3232
34	115	3186
35	117	3151
36	122	3188
37	124	3147
38	126	3112
39	129	3096
40	132	3091
41	135	3083
42	137	3059
43	139	3034
44	141	3004
45	143	2980
46	146	2966
47	150	2985
48	153	2987
49	160	3044
50	169	3156
51	173	3171
52	179	3212
53	181	3187
54	186	3208
55	188	3178
56	190	3153
57	196	3190
58	200	3204
59	203	3182
60	206	3174
61	211	3195
62	219	3260
63	222	3256
64	230	3312
65	233	3299
66	235	3286
67	237	3261
68	241	3259
69	243	3239
70	246	3220
71	247	3193
72	250	3174
73	251	3152
74	253	3132
75	257	3131
76	260	3121
77	261	3096
78	263	3076
79	265	3055
80	271	3076
81	274	3069
82	277	3070
83	281	3068
84	287	3090
85	289	3080
86	292	3070
87	295	3058
88	297	3041
89	299	3030
90	302	3017
91	304	3001
92	306	2985
93	307	2968
94	309	2949
95	313	2948
96	314	2932
97	317	2920
98	319	2911
99	322	2901
100	324	2885
101	327	2881
102	329	2873
103	331	2859
104	333	2846
105	335	2829
106	337	2813
107	339	2804
108	341	2788
109	342	2774
110	344	2760
111	346	2747
112	348	2733
113	349	2719
114	351	2705
115	353	2696
116	355	2685
117	360	2692
118	362	2681
119	364	2669
120	367	2666
121	376	2706
122	379	2704
123	385	2721
124	388	2716
125	389	2704
126	392	2699
127	394	2689
128	399	2700
129	404	2709
130	408	2707
131	414	2723
132	416	2713
133	418	2703
134	420	2692
135	422	2685
136	424	2673
137	430	2689
138	436	2702
139	439	2701
140	441	2690
141	445	2689
142	450	2701
143	453	2694
144	459	2710
145	464	2715
146	467	2713
147	469	2705
148	473	2707
149	477	2703
150	480	2701
151	489	2729
152	493	2729
153	497	2730
154	499	2723
155	502	2717
156	504	2711
157	507	2705
158	511	2707
159	517	2715
160	521	2718
161	524	2713
162	526	2703
163	529	2699
164	531	2690
165	533	2680
166	535	2669
167	537	2660
168	543	2671
169	545	2663
170	550	2666
171	552	2660
172	554	2650
173	558	2651
174	561	2644
175	563	2637
176	565	2630
177	568	2626
178	571	2622
179	573	2614
180	576	2606
181	578	2600
182	581	2596
183	584	2590
184	586	2584
185	588	2575
186	590	2566
187	592	2557
188	594	2552
189	598	2549
190	601	2546
191	603	2540
192	605	2532
193	607	2524
194	611	2522
195	612	2514
196	614	2506
197	616	2498
198	618	2489
199	620	2480
200	622	2473
201	624	2466
202	625	2457
203	627	2449
204	628	2438
205	631	2435
206	633	2428
207	635	2421
208	638	2415
209	640	2408
210	642	2400
211	643	2392
212	646	2387
213	648	2380
214	650	2374
215	650	2362
216	652	2354
217	654	2346
218	656	2339
219	658	2333
220	659	2326
221	661	2318
222	668	2327
223	670	2321
224	671	2313
225	673	2306
226	675	2300
227	677	2294
228	679	2286
229	680	2278
230	683	2274
231	684	2266
232	686	2258
233	687	2251
234	691	2249
235	693	2243
236	695	2237
237	696	2230
238	698	2223
239	699	2216
240	701	2210
241	703	2204
242	705	2197
243	707	2190
244	708	2184
245	710	2178
246	712	2171
247	713	2164
248	715	2157
249	717	2153
250	721	2151
251	723	2146
252	724	2140
253	727	2137
254	730	2132
255	733	2130
256	736	2129
257	741	2132
258	744	2130
259	748	2130
260	750	2126
261	754	2125
262	756	2120
263	758	2114
264	760	2108
265	763	2106
266	765	2101
267	767	2096
268	769	2090
269	772	2087
270	775	2085
271	777	2080
272	779	2074
273	782	2073
274	785	2070
275	788	2067
276	790	2064
277	793	2061
278	798	2063
279	800	2059
280	802	2054
281	804	2048
282	806	2043
283	808	2039
284	810	2033
285	812	2029
286	817	2030
287	819	2025
288	820	2019
289	822	2014
290	825	2010
291	827	2005
292	830	2004
293	834	2002
294	836	1998
295	839	1995
296	841	1992
297	846	1993
298	848	1988
299	850	1983
300	852	1980
301	854	1975
302	856	1971
303	861	1972
304	863	1967
305	865	1962
306	866	1956
307	869	1953
308	871	1949
309	874	1947
310	878	1945
311	880	1941
312	882	1936
313	884	1931
314	887	1929
315	889	1924
316	890	1919
317	892	1914
318	894	1909
319	896	1905
320	899	1903
321	901	1898
322	904	1895
323	906	1891
324	908	1886
325	910	1881
326	915	1884
327	918	1881
328	921	1878
329	924	1876
330	927	1873
331	930	1871
332	940	1883
333	945	1886
334	949	1883
335	953	1885
336	956	1882
337	958	1877
338	960	1873
339	965	1874
340	971	1876
341	972	1871
342	974	1867
343	977	1863
344	979	1858
345	982	1856
346	992	1867
347	1034	1939
348	1040	1940
349	1043	1938
350	1053	1948
351	1058	1948
352	1062	1948
353	1073	1959
354	1076	1956
355	1129	2042
356	1137	2047
357	1140	2044
358	1144	2043
359	1148	2042
360	1159	2052
361	1166	2055
362	1177	2066
363	1184	2070
364	1195	2080
365	1200	2080
366	1207	2083
367	1214	2086
368	1217	2082
369	1227	2089
370	1232	2089
371	1242	2098
372	1245	2094
373	1252	2096
374	1263	2106
375	1277	2120
376	1291	2133
377	1300	2140
378	1302	2134
379	1305	2129
380	1307	2124
381	1309	2118
382	1312	2115
383	1315	2110
384	1317	2104
385	1319	2098
386	1321	2093
387	1324	2088
388	1326	2083
389	1330	2080
390	1332	2075
391	1334	2070
392	1336	2064
393	1340	2061
394	1342	2056
395	1345	2051
396	1347	2046
397	1349	2040
398	1351	2035
399	1359	2039
400	1363	2036
401	1365	2030
402	1368	2027
403	1370	2021
404	1372	2016
405	1374	2011
406	1376	2005
407	1378	2000
408	1381	1996
409	1383	1990
410	1386	1986
411	1388	1982
412	1391	1977
413	1394	1973
414	1397	1969
415	1400	1965
416	1403	1962
417	1406	1958
418	1414	1961
419	1418	1958
420	1420	1953
421	1422	1948
422	1424	1942
423	1425	1937
424	1427	1931
425	1429	1925
426	1430	1920
427	1432	1914
428	1435	1910
429	1437	1905
430	1439	1900
431	1441	1895
432	1443	1889
433	1444	1884
434	1446	1878
435	1449	1874
436	1451	1869
437	1452	1864
438	1454	1858
439	1456	1853
440	1458	1848
441	1459	1842
442	1462	1838
443	1468	1839
444	1471	1834
445	1474	1832
446	1477	1827
447	1479	1822
448	1480	1817
449	1483	1813
450	1485	1808
451	1487	1803
452	1490	1799
453	1492	1794
454	1494	1790
455	1496	1785
456	1498	1780
457	1500	1775
458	1502	1771
459	1504	1766
460	1506	1761
461	1508	1756
462	1510	1752
463	1512	1747
464	1514	1742
465	1518	1740
466	1521	1736
467	1523	1731
468	1525	1727
469	1529	1724
470	1531	1720
471	1533	1715
472	1535	1710
473	1537	1706
474	1539	1701
475	1540	1696
476	1542	1691
477	1544	1686
478	1548	1684
479	1550	1679
480	1551	1674
481	1554	1670
482	1556	1665
483	1557	1660
484	1560	1657
485	1562	1652
486	1564	1647
487	1566	1643
488	1569	1640
489	1571	1635
490	1576	1634
491	1578	1629
492	1580	1625
493	1584	1622
494	1586	1618
495	1588	1614
496	1590	1610
497	1592	1605
498	1594	1600
499	1596	1596
500	1598	1592
501	1602	1589
502	1604	1585
503	1606	1581
504	1609	1577
505	1612	1574
506	1615	1570
507	1618	1567
508	1620	1562
509	1623	1559
510	1626	1556
511	1630	1553
512	1639	1556
513	1641	1552
514	1646	1550
515	1648	1546
516	1650	1541
517	1652	1537
518	1654	1532
519	1656	1529
520	1660	1526
521	1662	1522
522	1664	1518
523	1668	1515
524	1670	1511
525	1677	1511
526	1679	1507
527	1682	1503
528	1684	1499
529	1685	1495
530	1690	1493
531	1693	1489
532	1695	1485
533	1696	1480
534	1699	1476
535	1710	1480
536	1712	1476
537	1715	1473
538	1720	1471
539	1724	1469
540	1726	1465
541	1729	1461
542	1734	1460
543	1737	1456
544	1740	1452
545	1745	1451
546	1756	1454
547	1768	1459
548	1778	1460
549	1786	1461
550	1794	1462
551	1802	1463
552	1806	1460
553	1812	1458
554	1815	1455
555	1820	1453
556	1831	1456
557	1869	1480
558	1875	1479
559	1880	1477
560	1885	1475
561	1893	1475
562	1896	1472
563	1899	1468
564	1901	1463
565	1906	1462
566	1909	1458
567	1911	1453
568	1914	1449
569	1916	1445
570	1920	1442
571	1923	1439
572	1925	1435
573	1927	1430
574	1929	1425
575	1931	1421
576	1933	1417
577	1935	1413
578	1937	1408
579	1942	1406
580	1963	1416
581	1970	1415
582	1974	1412
583	1977	1408
584	1979	1404
585	1982	1400
586	1984	1396
587	1986	1392
588	1992	1390
589	1994	1385
590	2011	1392
591	2054	1415
592	2059	1413
593	2065	1411
594	2068	1408
595	2073	1405
596	2079	1403
597	2083	1400
598	2099	1405
599	2102	1401
600	2105	1398
601	2111	1395
602	2117	1394
603	2120	1390
604	2122	1385
605	2123	1380
606	2125	1376
607	2132	1375
608	2135	1371
609	2138	1367
610	2140	1362
611	2142	1358
612	2147	1355
613	2149	1351
614	2151	1346
615	2152	1341
616	2154	1337
617	2162	1336
618	2165	1332
619	2169	1329
620	2173	1326
621	2178	1323
622	2180	1319
623	2182	1314
624	2184	1310
625	2188	1307
626	2191	1303
627	2194	1299
628	2196	1295
629	2200	1292
630	2202	1287
631	2204	1283
632	2206	1279
633	2207	1274
634	2209	1270
635	2211	1265
636	2214	1262
637	2216	1257
638	2218	1253
639	2221	1249
640	2224	1245
641	2226	1241
642	2228	1237
643	2231	1233
644	2233	1229
645	2236	1225
646	2239	1221
647	2243	1218
648	2244	1214
649	2251	1212
650	2258	1210
651	2261	1207
652	2263	1202
653	2268	1199
654	2272	1196
655	2274	1192
656	2277	1188
657	2278	1184
658	2284	1182
659	2286	1177
660	2287	1173
661	2289	1169
662	2292	1165
663	2301	1164
664	2304	1160
665	2306	1156
666	2307	1152
667	2313	1150
668	2316	1146
669	2318	1141
670	2321	1138
671	2322	1133
672	2328	1131
673	2331	1127
674	2333	1123
675	2335	1119
676	2336	1114
677	2338	1110
678	2345	1109
679	2348	1105
680	2350	1101
681	2352	1096
682	2354	1092
683	2361	1090
684	2364	1087
685	2373	1086
686	2377	1083
687	2383	1080
688	2386	1077
689	2388	1073
690	2391	1069
691	2393	1065
692	2395	1061
693	2398	1057
694	2400	1053
695	2403	1049
696	2404	1045
697	2406	1041
698	2409	1037
699	2414	1034
700	2419	1032
701	2421	1027
702	2433	1027
703	2436	1024
704	2438	1020
705	2441	1016
706	2443	1012
707	2446	1008
708	2447	1004
709	2450	1000
710	2453	997
711	2455	993
712	2457	989
713	2460	985
714	2462	981
715	2464	977
716	2468	974
717	2472	970
718	2475	967
719	2477	963
720	2479	959
721	2485	957
722	2489	953
723	2491	949
724	2494	946
725	2497	942
726	2499	938
727	2501	934
728	2503	930
729	2504	926
730	2506	922
731	2508	918
732	2512	915
733	2514	911
734	2516	907
735	2518	903
736	2521	899
737	2523	895
738	2526	892
739	2528	888
740	2529	884
741	2531	880
742	2533	876
743	2535	872
744	2539	869
745	2541	865
746	2544	861
747	2546	857
748	2548	853
749	2552	850
750	2556	847
751	2560	844
752	2562	840
753	2566	837
754	2570	834
755	2572	830
756	2574	826
757	2576	822
758	2579	818
759	2583	815
760	2585	812
761	2587	808
762	2589	804
763	2592	800
764	2598	798
765	2601	794
766	2606	791
767	2614	789
768	2624	788
769	2630	785
770	2634	782
771	2637	779
772	2641	775
773	2643	771
774	2646	768
775	2652	765
776	2679	769
777	2691	768
778	2695	764
779	2699	761
780	2701	757
781	2706	754
782	2709	750
783	2711	746
784	2717	744
785	2722	741
786	2728	738
787	2739	736
788	2742	733
789	2751	731
790	2754	727
791	2763	725
792	2772	723
793	2779	721
794	2782	717
795	2785	713
796	2791	711
797	2798	708
798	2801	704
799	2804	701
800	2807	697
801	2809	693
802	2812	689
803	2814	686
804	2817	682
805	2820	678
806	2823	675
807	2826	671
808	2828	667
809	2831	664
810	2835	660
811	2838	657
812	2842	653
813	2850	651
814	2855	648
815	2857	644
816	2864	641
817	2868	638
818	2872	634
819	2883	632
820	2886	629
821	2888	625
822	2892	622
823	2894	618
824	2896	614
825	2899	610
826	2901	606
827	2904	603
828	2907	599
829	2910	596
830	2912	592
831	2917	589
832	2919	585
833	2922	581
834	2924	577
835	2926	574
836	2928	570
837	2929	566
838	2932	562
839	2936	559
840	2938	555
841	2940	551
842	2943	548
843	2945	544
844	2947	540
845	2949	536
846	2951	533
847	2953	529
848	2955	525
849	2957	521
850	2963	518
851	2966	515
852	2968	511
853	2970	507
854	2974	504
855	2976	500
856	2978	497
857	2980	493
858	2983	489
859	2984	485
860	2990	482
861	2992	479
862	2995	475
863	2997	471
864	2999	468
865	3001	464
866	3003	460
867	3005	457
868	3007	453
869	3008	449
870	3010	445
871	3012	442
872	3015	438
873	3017	434
874	3018	431
875	3020	427
876	3023	424
877	3025	420
878	3026	416
879	3028	412
880	3031	409
881	3034	405
882	3036	402
883	3038	398
884	3039	394
885	3041	391
886	3044	387
887	3046	384
888	3048	380
889	3050	377
890	3052	373
891	3053	369
892	3055	366
893	3057	362
894	3060	359
895	3062	355
896	3064	351
897	3066	348
898	3068	344
899	3071	341
900	3073	337
901	3092	336
902	3098	332
903	3106	329
904	3111	326
905	3113	323
906	3117	319
907	3119	316
908	3121	312
909	3124	308
910	3125	305
911	3127	301
912	3130	298
913	3131	294
914	3134	291
915	3135	287
916	3138	284
917	3141	280
918	3145	277
919	3148	273
920	3151	270
921	3160	267
922	3164	263
923	3166	260
924	3170	257
925	3173	253
926	3175	250
927	3177	246
928	3179	242
929	3180	239
930	3182	235
931	3187	232
932	3190	229
933	3192	225
934	3195	222
935	3203	219
936	3207	215
937	3215	212
938	3219	209
939	3224	205
940	3227	202
941	3231	198
942	3234	195
943	3237	192
944	3239	188
945	3244	185
946	3247	181
947	3251	178
948	3254	174
949	3257	171
950	3262	168
951	3264	164
952	3266	161
953	3268	157
954	3272	154
955	3276	150
956	3278	147
957	3280	143
958	3282	140
959	3284	136
960	3288	133
961	3294	130
962	3297	126
963	3300	123
964	3304	119
965	3306	116
966	3309	112
967	3310	109
968	3312	105
969	3314	102
970	3316	99
971	3318	95
972	3322	92
973	3327	88
974	3333	85
975	3337	82
976	3341	78
977	3344	75
978	3345	71
979	3347	68
980	3351	64
981	3355	61
982	3357	58
983	3359	54
984	3361	51
985	3363	47
986	3364	44
987	3367	40
988	3369	37
989	3370	34
990	3372	30
991	3374	27
992	3376	23
993	3377	20
994	3379	16
995	3382	13
996	3384	10
997	3386	6
998	3388	3
999	3390	0
