title,box_off_num
용서는 없다,2685139.3
아빠가 여자를 좋아해,1880838.54
하모니,2130127.29
의형제,2133163.07
평행 이론,924766.03
회오리 바람,49099.17
경계도시 2,104107.92
이웃집 남자,30797.77
아마존의 눈물 극장판,63389.33
반가운 살인자,437571.14
집 나온 남자들,425618.78
베스트셀러,2366962.94
작은 연못,1011831.6
경,6929.77
대한민국 1%,802553.73
포화 속으로,3300755.31
나쁜 놈이 더 잘 잔다,23762.51
맨발의 꿈,1704379.45
요술,391611.12
마법천자문: 대마왕의 부활을 막아라,370492.35
인플루언스,9586.41
미스터 좀비,128251.49
김복남 살인사건의 전말,746848.81
엄지아빠,3995.55
탈주,40088.43
해결사,746020.98
할,53917.67
된장,3631562.65
조금만 더 가까이,88334.11
우리 만난 적 있나요,166455.56
쩨쩨한 로맨스,2329144.61
용서,24133.75
브라보! 재즈 라이프,159403.96
카페 느와르,1452708.89
오래된 인력거,345398.66
창피해,503127.32
"양 한 마리, 양 두 마리",166654.94
하얀 정글,12042.15
다슬이,65008.4
REC 알이씨,15140.32
량강도 아이들,481012.38
티끌모아 로맨스,51947.8
더 킥,79275.39
커플즈,992424.71
오늘,1157102.77
완득이,711991.32
은어,13595.94
고래를 찾는 자전거,33909.25
도가니,1461148.66
겨울냄새,2468.8
환타스틱 모던가야그머,60733.39
블라인드,787364.06
링크,87904.76
퀵,949874.09
모비딕,1066013.58
굿바이 보이,468999.68
종로의 기적,182539.5
회초리,967987.01
체포왕,1359811.34
세상에서 가장 아름다운 이별,3803755.78
나는 아빠다,720813.8
수상한 고객들,4091842.25
수상한 이웃들,53144.32
돌아오는 길,6659.54
우리 이웃의 범죄,96592.02
엄마는 창녀다,6559.9
위험한 상견례,1220683.41
간증,87076.76
"사랑한다, 사랑하지 않는다",862882.49
"혜화, 동",171565.25
글러브,3255873.9
가문의 귀환,616014.46
잔혹한 앵글의 로망스,2374.57
나의 PS 파트너,1680517.95
롤플레이,195311.77
마티나,1105.3
음치 클리닉,2493691.52
남영동1985,79503.41
돈 크라이 마미,272046.24
반드시 크게 들을 것 2 : Wild Days,11793.18
범죄소년,92040.02
내가 살인범이다,2998995.82
터치,49427.93
늑대소년,3374884.82
맥코리아,16007.0
